[326018][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06865207105875015, 'lighthouse.angle1y_3': -0.44633880257606506} 
[326028][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06865207105875015, 'lighthouse.angle1y_3': -0.44633880257606506} 
[326038][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06861858814954758, 'lighthouse.angle1y_3': -0.4464484453201294} 
[326048][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06861858814954758, 'lighthouse.angle1y_3': -0.4464484453201294} 
[326058][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06863894313573837, 'lighthouse.angle1y_3': -0.44631853699684143} 
[326068][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06863894313573837, 'lighthouse.angle1y_3': -0.44631853699684143} 
[326078][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06859252601861954, 'lighthouse.angle1y_3': -0.44632792472839355} 
[326088][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06859252601861954, 'lighthouse.angle1y_3': -0.44632792472839355} 
[326098][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06861858814954758, 'lighthouse.angle1y_3': -0.4464484453201294} 
[326108][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06861858814954758, 'lighthouse.angle1y_3': -0.4464484453201294} 
[326118][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06858593225479126, 'lighthouse.angle1y_3': -0.44631773233413696} 
